# NIST X-ray characteristic transition energies (keV).
# Curated subset for gemological elemental analysis.
# Source: NIST X-Ray Transition Energies database (Deslattes et al.).
# columns: element,Z,line,energy_keV,relative_intensity
element,Z,line,energy_keV,relative_intensity
Na,11,Ka,1.041,1.0
Mg,12,Ka,1.254,1.0
Al,13,Ka,1.486,1.0
Si,14,Ka,1.740,1.0
P,15,Ka,2.014,1.0
S,16,Ka,2.308,1.0
Cl,17,Ka,2.622,1.0
K,19,Ka,3.314,1.0
Ca,20,Ka,3.692,1.0
Ca,20,Kb,4.013,0.13
Ti,22,Ka,4.511,1.0
Ti,22,Kb,4.932,0.13
V,23,Ka,4.952,1.0
V,23,Kb,5.428,0.13
Cr,24,Ka,5.415,1.0
Cr,24,Kb,5.947,0.13
Mn,25,Ka,5.899,1.0
Mn,25,Kb,6.490,0.13
Fe,26,Ka,6.404,1.0
Fe,26,Kb,7.058,0.13
Co,27,Ka,6.930,1.0
Co,27,Kb,7.649,0.13
Ni,28,Ka,7.478,1.0
Ni,28,Kb,8.265,0.13
Cu,29,Ka,8.048,1.0
Cu,29,Kb,8.905,0.13
Zn,30,Ka,8.639,1.0
Zn,30,Kb,9.572,0.13
Ga,31,Ka,9.252,1.0
Ga,31,Kb,10.264,0.13
Ge,32,Ka,9.886,1.0
As,33,Ka,10.544,1.0
Se,34,Ka,11.222,1.0
Br,35,Ka,11.924,1.0
Rb,37,Ka,13.395,1.0
Sr,38,Ka,14.165,1.0
Y,39,Ka,14.958,1.0
Zr,40,Ka,15.775,1.0
Nb,41,Ka,16.615,1.0
Mo,42,Ka,17.479,1.0
Mo,42,Kb,19.608,0.15
Ag,47,Ka,22.163,1.0
Cd,48,Ka,23.174,1.0
Sn,50,Ka,25.271,1.0
Sb,51,Ka,26.359,1.0
I,53,Ka,28.612,1.0
Cs,55,Ka,30.973,1.0
Ba,56,Ka,32.194,1.0
La,57,La,4.651,1.0
Ce,58,La,4.840,1.0
Nd,60,La,5.230,1.0
Sm,62,La,5.636,1.0
Eu,63,La,5.846,1.0
Gd,64,La,6.057,1.0
Tb,65,La,6.273,1.0
Dy,66,La,6.495,1.0
Hf,72,La,7.899,1.0
Ta,73,La,8.146,1.0
W,74,La,8.398,1.0
Pt,78,La,9.442,1.0
Pt,78,Lb,11.071,0.6
Au,79,La,9.713,1.0
Hg,80,La,9.989,1.0
Pb,82,La,10.551,1.0
Pb,82,Lb,12.614,0.6
Bi,83,La,10.839,1.0
